"No.","Time","Source","Destination","Protocol","Length","Info","src_port","dst_posrt"
"1","0.000000","192.168.3.131","72.14.213.138","HTTP","997","GET /complete/search?client=chrome&hl=en-US&q=cr HTTP/1.1 ","57011","80"
"2","0.029841","72.14.213.138","192.168.3.131","HTTP","440","HTTP/1.1 200 OK  (text/javascript)","80","57011"
"3","0.223883","192.168.3.131","72.14.213.102","TCP","66","55950  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1","55950","80"
"4","0.229423","192.168.3.131","72.14.213.138","TCP","54","57011  >  80 [ACK] Seq=944 Ack=387 Win=16192 Len=0","57011","80"
"5","0.242649","72.14.213.102","192.168.3.131","TCP","66","80  >  55950 [SYN, ACK] Seq=0 Ack=1 Win=5720 Len=0 MSS=1430 SACK_PERM=1 WS=64","80","55950"
"6","0.242696","192.168.3.131","72.14.213.102","TCP","54","55950  >  80 [ACK] Seq=1 Ack=1 Win=65780 Len=0","55950","80"
"7","0.243050","192.168.3.131","72.14.213.102","HTTP","998","GET /complete/search?client=chrome&hl=en-US&q=msn HTTP/1.1 ","55950","80"
"8","0.262981","192.168.3.131","72.14.213.102","TCP","54","55950  >  80 [FIN, ACK] Seq=945 Ack=1 Win=65780 Len=0","55950","80"
"9","0.264074","72.14.213.102","192.168.3.131","TCP","60","80  >  55950 [ACK] Seq=1 Ack=945 Win=7616 Len=0","80","55950"
"10","0.276671","72.14.213.102","192.168.3.131","HTTP","541","HTTP/1.1 200 OK  (text/javascript)","80","55950"
"11","0.276759","192.168.3.131","72.14.213.102","TCP","54","55950  >  80 [RST, ACK] Seq=946 Ack=488 Win=0 Len=0","55950","80"
"12","0.282368","72.14.213.102","192.168.3.131","TCP","60","80  >  55950 [FIN, ACK] Seq=488 Ack=946 Win=7616 Len=0","80","55950"
"13","0.443719","192.168.3.131","72.14.213.147","TCP","66","52152  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1","52152","443"
"14","0.462314","72.14.213.147","192.168.3.131","TCP","66","443  >  52152 [SYN, ACK] Seq=0 Ack=1 Win=5720 Len=0 MSS=1430 SACK_PERM=1 WS=64","443","52152"
"15","0.462403","192.168.3.131","72.14.213.147","TCP","54","52152  >  443 [ACK] Seq=1 Ack=1 Win=65780 Len=0","52152","443"
"16","0.463166","192.168.3.131","72.14.213.147","TLSv1","231","Client Hello","52152","443"
"17","0.481874","72.14.213.147","192.168.3.131","TCP","60","443  >  52152 [ACK] Seq=1 Ack=178 Win=6848 Len=0","443","52152"
"18","0.483296","72.14.213.147","192.168.3.131","TLSv1","1484","Server Hello","443","52152"
"19","0.484121","72.14.213.147","192.168.3.131","TLSv1","345","Certificate, Server Hello Done","443","52152"
"20","0.484150","192.168.3.131","72.14.213.147","TCP","54","52152  >  443 [ACK] Seq=178 Ack=1722 Win=65780 Len=0","52152","443"
"21","0.487784","192.168.3.131","72.14.213.147","TLSv1","329","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Application Data","52152","443"
"22","0.508847","72.14.213.147","192.168.3.131","TLSv1","280","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message","443","52152"
